Name,Cost,Mission/DilemmaType,Text
Cardassian Processing,2,D,"Unless you have Diplomacy, Honor, and Transporters or Law, Security, and Strength>30, randomly select a personnel to be stopped, and if the opponent on your left commands {Cardassia Prime}, that personnel is placed in your opponent's brig instead."
Chula: Move Along Home,3,D,"Randomly select three personnel. If the highest Strength among those personnel is even, all three of them are stopped."
Covert Insertion,2,D,"Unless you have Diplomacy, Officer, and Security or Biology, Intelligence, and Treachery, randomly select a personnel to be stopped, and if the opponent on your left commands {Founders' Homeworld}, he or she may download an Infiltrator that he or she does not command and place him or her on your ship or planet mission."
Cultural Differences,1,P,"Choose a personnel who has Acquisition or Anthropology to be stopped. If you cannot, randomly select a personnel to be killed."
Dangerous Standoff,2,D,"Unless you have Diplomacy, Leadership, and Physics or Exobiology, Medical, and Cunning>28, randomly select a personnel to be stopped, and if the opponent on your left commands {Unicomplex} and does not command that personnel, he or she may place that personnel there. Your opponent now commands that personnel."
Deuterium Plunderers,2,P,"Unless you have Exobiology and 2 Medical or Officer, Security, and Treachery, randomly select a personnel to be stopped, and if the opponent on your left command {Qo'noS}, he or she may download up to three [Kli] personnel that he or she does not command and place them at this mission."
Molecular Mishap,2,D,"Unless you have Anthropology, Biology, and Cunning>28 or Law, Officer, and Strength>32, lose 5 points."
Opportunity for Profit,2,D,"Unless you have Acquisition, Engineer, and Programming or Honor, Officer, and Security, randomly select a personnel to be stopped, and the opponent on your left may discard a card from beneath his or her {Ferenginar} to randomly select an additional personnel to be stopped."
Outclassed,3,S,Unless you have unused Range>8 or Weapons>8 all your personnel are stopped.
Parallels,3,S,"Reveal a number of cards from the top of your deck equal to the number of events the opponent to your left has in his or her core. If any of the revealed cards are a copy of a personnel attempting this mission, stop each of those personnel. Place the revealed cards on the bottom of their owner's deck in any order."
Profitable Venture,1,D,"Unless you have Acquisition, Diplomacy, and Transporters or Law, Officer, and Security, randomly select a personnel to be stopped and the next dilemma revealed during this mission attempt is cost -3."
Tactical Disadvantage,2,S,"Reveal your hand and the hand of the opponent on your left. If your opponent reveals ships with more total Weapons than the total Shields of ships that you have revealed in this way, randomly select one of your personnel to be killed and all your personnel are stopped."
Telepathic Invasion,2,D,"Unless you have Diplomacy, Officer, and Telepathy or Intelligence, Treachery, and Cunning>22, randomly select a personnel to be stopped, and if the opponent on your left commands {Romulus}, he or she may examine your hand and discard a card of his or her choice from the revealed cards."
Up the Ante,2,P,"You may end this mission attempt to prevent and overcome this dilemma (all your personnel are stopped). If you do not and you complete this mission this turn, you win the game. If you do not and do not complete this mission this turn, you lose the game."
Warp Bubble Mishap,1,S,"Choose a personnel who has Physics or Science to be stopped. If you cannot, randomly select a personnel to be killed."
Zero Hour,1,P,"Place this dilemma on this mission. Add 3 to each attribute requirement needed to complete this mission for each event in your core. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Revelry,2,D,"For each of your headquarters missions, randomly select a personnel to be stopped. You may place two personnel from hand in your discard pile to prevent this."
Maquis Vendetta,3,P,"Randomly select a personnel to be stopped. If that personnel has Officer or Security, randomly select an additional personnel to be stopped."
Shields Up!,3,S,"Randomly select a personnel to be stopped. If that personnel has Astrometrics or Navigation, randomly select an additional personnel to be stopped."
An Issue of Trust,4,D,"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."
Not Quite Domesticated Pets,3,D,"Unless you have Diplomacy, 2 Leadership and Integrity>28 or Biology, 2 Exobiology and Cunning>34, randomly select a personnel to be stopped. If your opponent has more events in his or her core than you and he or she does not command that personnel, place that personnel at his or her headquarters mission instead and that opponent now commands that personnel."
Bio-neural Computer Core,4,D,"Randomly select a personnel to be stopped. If your opponent does not command that personnel and you still have nine personnel remaining, place him or her on your opponent's headquarters mission instead, then randomly select a second personnel that your opponent does not command to be placed on that opponent's headquarters mission. That opponent now commands those personnel."
Necessary Execution,5,P,"Your opponent chooses a personnel to be killed. If you do not command a completed space mission, he or she chooses an additional personnel to be killed."
Unbelievable Emergency,4,S,"Your opponent names a skill. For each headquarters mission you command, randomly select two personnel to be stopped. If either of those personnel that is selected has the named skill, kill that personnel instead."
Nose to Nose,0,D,"Randomly select two personnel. If they both have the same cost, they are both stopped."
Imagined Emergency,3,D,"Unless you have Engineer, Exobiology, and Medical or Leadership, Security, and Strength>30, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions."
Contaminating a Culture,3,D,Randomly select a personnel to be killed. You may prevent this by placing one of your equipment cards present in its owner's discard pile.
A Pattern of Lies,2,D,"Randomly select three personnel. Unless at least one of them is a different species than the others, all three are stopped. Otherwise, choose one of those personnel to be stopped."
Chameloid Chicanery,3,D,"Randomly select a personnel to be stopped. If your opponent has an Infiltrator at this mission, randomly select a personnel to be killed."
Thermokinetic Explosion,3,S,"Unless you have Astrometrics, Navigation, and Cunning>30 or total ship's attributes>21, place this dilemma on your ship and all your personnel are stopped. Damage - At the start of each of your turns, choose an opponent. That opponent may download a Damage card and place it on this ship."
Compassionate Interference,2,P,"Randomly select a personnel to be stopped. Unless you reveal a Biology personnel from your hand or reveal a Geology personnel from your hand, that personnel is killed instead."
Hull Breach,2,S,"Randomly select a personnel to be stopped. Unless you reveal an Astrometrics personnel from your hand or reveal a Navigation personnel from your hand, that personnel is killed instead."
Last Gasp,3,D,"Randomly select a personnel to be stopped. Unless you reveal a Leadership personnel from your hand or reveal an Officer personnel from your hand, that personnel is killed instead."
Armed Search Party,4,D,"Randomly select three personnel. Unless they have Strength>17 or you have a non-Hand Weapon equipment, for each headquarters mission you command, randomly select one of those personnel to be placed in your opponent's brig."
Difficult Rescue,3,S,"Unless you have Shields + remaining Range>the number of personnel attempting this mission, randomly select a personnel to be killed and all your other personnel are stopped."
Psionic Attack,3,P,"Unless you have Medical and Science or 3 Security, randomly select a personnel to place on the bottom of his or her owner's deck. If that personnel has Anthropology, randomly select an additional personnel and place that personnel on the bottom of his or her owner's deck."
Sabotaged Reactor,2,S,"Unless you have Astrometrics, Engineer, and Navigation or Leadership, Officer, and Cunning>28, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is Range -2."
Joint Operation Drills,2,S,"Your opponent names a skill. For each headquarters mission you command, randomly select a person who has that skill to be stopped."
Stand-Off,3,P,"Unless you have Anthropology, Diplomacy, and Honor or Law, Security, and Strength>28, randomly select a Leadership personnel, place him or her in your opponent's brig, and all your other personnel are stopped."
Symbalene Blood Burn,3,P,"Unless you have Biology, Exobiology, and Medical or Officer, Security, and Strength>28, randomly select four personnel to be stopped and place this dilemma on your ship at this mission. Damage - At the start of each turn, randomly select a personnel on this ship to be killed."
Temporal Conduit,2,D,"Unless you have 2 Diplomacy and Leadership or Programming, Science, and Transporters, your opponent places this dilemma on one of your completed missions. At the end of each of your turns, your opponent may place a dilemma from beneath one of your other missions beneath this mission."
Under Pressure,1,S,"Unless you have Astrometrics, Engineer, and Navigation or Biology, Medical, and Science, randomly select a personnel to be killed. You may randomly select two personnel to be stopped to prevent this."
Accelerated Aging,2,D,"Place this dilemma on this mission. Each personnel at this mission cannot use their first-listed skill. At the end of this mission attempt, this dilemma is overcome."
Destined Journey,2,D,"Choose a personnel who has Honor or Leadership to be stopped. If that personnel has both Honor and Leadership, you may unstop your stopped personnel present and that personnel joins the mission attempt. If you cannot choose a personnel with Honor or Leadership, all your personnel are stopped."
Final Triumph,3,D,"Unless you choose to discard an event from your hand, your opponent chooses a personnel to be stopped."
Subterranean Barrier,3,P,"Unless you have Biology, Exobiology, Geology and Integrity>25 or Diplomacy, Leadership, Officer and Cunning>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
"The Caretaker's ""Guests""",2,D,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your discard pile. Place the personnel your opponent chose on the top of his or her owner's deck.
Psychokinetic Control,0,D,"Place this dilemma on this mission. Each personnel at this mission loses each skill he or she has gained. Each personnel cannot gain skills. Each personnel cannot increase his or her attributes. At the end of this mission attempt, this dilemma is overcome."
Barrier's Effect,2,D,"Choose a unique personnel to be attributes +3 until the end of this mission attempt. At the end of this mission attempt, place that personnel and an event in your core in their owner's discard piles."
Mark of Gideon,3,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, return that personnel to his or her owner's hand, then your opponent chooses a second personnel to return to his or her owner's hand. If you still have ten personnel remaining, your opponent chooses a third personnel to return to his or her owner's hand."
Mugato,2,P,"Unless you have 2 Biology and 2 Medical or Leadership, 2 Security and Strength>34, randomly select two personnel to be stopped and place this dilemma in your core. At the start of each of your turns, discard the top card of your deck."
No Kill I,2,P,All your personnel are stopped.
Moment of Doubt,5,D,This dilemma is cost -2 for each headquarters mission you command. Your opponent chooses an Officer or Security personnel to be stopped.
Excalbian Drama,0,P,"When your opponent reveals this dilemma, he or she may discard any number of cards from hand. For each card discarded this way, add 5 Integrity to this dilemma's requirements. Unless you have Integrity>30, all your personnel are stopped."
Fesarius Bluff,0,S,"When your opponent reveals this dilemma, he or she may discard any number of cards from hand. For each card discarded this way, add 5 Cunning to this dilemma's requirements. Unless you have Cunning>30, all your personnel are stopped."
Silent Attack,3,D,"Randomly select three personnel. If the total cost of those personnel is 4 or less, they are stopped and this dilemma is placed in your core. Otherwise, randomly select one of those personnel to be stopped. When you play a non-unique personnel, he or she is cost +1."
Arena,3,D,"Randomly select a personnel. Unless that personnel has total attributes>18, your opponent places him or her on a planet mission."
Distress Call,9,S,This dilemma is cost -3 for each mission you have completed. All your personnel are stopped.
Neural Parasites,2,P,"This dilemma is cost +3 for each mission you have completed. For each headquarters mission you command, your opponent chooses a personnel to be killed."
Vian Test,5,P,"Choose a personnel to place in your opponent's brig. If that personnel is non-unique, your opponent draws up to three cards."
Casualties,3,D,"The personnel who has the fewest [SD] icons is stopped. If that personnel does not have at least four [SD] icons, he or she is killed instead."
Swashbuckler at Heart,2,D,Reveal your hand and place each interrupt revealed this way on top of your deck in any order. Your opponent draws up to two cards.
Vault of Tomorrow,1,P,Your opponent searches his or her dilemma pile and chooses a dilemma that has a cost of 2 or less to place on top of his or her dilemma stack. Then your opponent shuffles his or her dilemma pile and this dilemma returns to its owner's dilemma pile.
Gangster's Welcome,2,P,"Unless you have Law and 2 Leadership or 2 Officer and 2 Security, randomly select a personnel to be killed and your opponent may destroy up to two events in your core."
Gorgan,2,D,"Your opponent discards a card from his or her hand. Unless you discard a card from hand that has an equal or greater cost than that card, all your personnel are stopped."
Lawgivers,4,P,"For each headquarters mission you command, your opponent chooses a personnel to be stopped. Each [NA] personnel stopped this way is returned to his or her owner's hand."
Trelane's Trial,2,D,"Choose a personnel that does not have an attributes>6 to be stopped. If you cannot, for each headquarters mission you command, randomly select a personnel to be killed."
Interphasic Effects,4,D,"Unless you have an [AU] personnel, randomly select a personnel to be killed and your opponent may choose an event to destroy."
Paranoid Escape,4,P,"Place this dilemma on this mission. Randomly select a personnel to be removed from the game. You cannot play cards that have the same title as that personnel. When you complete this mission, put the personnel removed from the game in his or her owner's hand and this dilemma is overcome."
Chula: The Dice,3,D,"Unless you have a personnel with Integrity>6, a second personnel with Cunning>6, and a third personnel with Strength>6, all your personnel are stopped."
Crew Advancement,0,D,"Your opponent names an attributes (Integrity, Cunning, or Strength). Your personnel with the highest named attribute is stopped."
Fractured Time,4,D,Randomly select nine personnel. All your other personnel are removed from the game.
Aftereffects,2,P,"Randomly select three personnel. If the total cost of those personnel is 5 or less, they are killed. Otherwise, randomly select one of those personnel to be stopped."
Preventative Repercussions,2,S,"Randomly select three personnel. If the total cost of those personnel is 5 or less, they are killed. Otherwise, randomly select one of those personnel to be stopped."
Dangerous Missions,3,P,"Place this dilemma on this mission. Each personnel who has a cost of 2 or less cannot use his or her skills while facing dilemmas. At the end of this turn, this dilemma is overcome."
Distraction,2,D,Choose a number of personnel who have a total cost of 4 or more to be stopped.
Infestation,2,D,Your opponent may have more than three copies of this card in his or her dilemma pile. Your personnel can face more than one copy of this dilemma during each mission attempt. Choose a personnel to be stopped.
Stripped Down *AP,1,D,Your opponent moves up to two dilemmas from beneath this mission to another of your non-headquarters missions.
Disarming Dream,3,D,Your opponent names a species. Randomly select a personnel of that species to be stopped.
Reflections,2,S,"Reveal a number of cards from the top of your deck equal to the number of [AU] cards your opponent commands. For each event or interrupt revealed, your opponent chooses a personnel to be stopped."
Alien Conspiracy,3,D,Choose three personnel. Your opponent chooses one of those personnel to be stopped.
Captured by the Breen,3,D,"Randomly select three personnel. If the total cost of those personnel is 4 or less, they are placed in your opponent's brig. Otherwise, randomly select one of those personnel to be stopped."
The Dal'Rok,3,D,"Unless your personnel have a total cost>17, for each headquarters mission you command, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
Key to the Alpha Quadrant,2,D,"Unless you have Astrometrics, Diplomacy, and Officer or Leadership, Security, and Treachery, randomly select a personnel to be stopped, and if the opponent on your left commands Mouth of the Wormhole, he or she scores 5 points."
New Advancements,2,D,"Unless you have Diplomacy, Leadership, and Navigation or a ship at a completed space mission, randomly select a personnel to be stopped, and if the opponent on your left commands {Earth}, he or she may download two [SF] cards."
Shattered,1,S,"Unless you have Anthropology, Leadership, and Science or Engineer, Transporters, and Cunning>28, randomly select a personnel to be stopped, and if the opponent on your left does not command a headquarters mission, he or she may take a [Voy] personnel from his or her discard pile and place him or her aboard a ship at a [DQ] mission."
The Secret War,3,D,"Unless you have Honor, Officer, and Integrity>34, or Security, Treachery, and Strength>34, randomly select a personnel to be stopped, and if the opponent on your left commands {Athos IV}, that personnel is returned to his or her owner's hand instead."
Paradan Replicant,3,D,"Randomly select a personnel to be stopped. If that personnel is non-unique, remove all copies of that personnel in hand from the game, search your deck for any additional copies of that personnel, remove them from the game as well, and shuffle and replace your deck."
Security Weapons,3,D,"Randomly select a personnel to be stopped. If that personnel has a cost of 2 or less, kill him or her instead."
Prisoner of the Exile,4,P,Choose a personnel to be placed in your opponent's brig.
Moral Choice,2,D,"Randomly select three personnel. If any of those personnel is a [Fed] personnel, they are all stopped. Otherwise, choose one of those personnel to be stopped."
Shocking Betrayal,2,D,Choose a personnel to be stopped and your opponent may discard a non-[NA] personnel from hand to choose a personnel that is the same affiliation as that discarded personnel to be killed.
Spatial Distortions,3,S,Choose a personnel to be placed in your discard pile.
Toe to Toe,1,D,"Randomly select a personnel. Unless you stop that personnel and another personnel with the same cost, he or she is killed."
Neurogenic Field,1,P,"Choose a personnel who has Anthropology or Medical to be stopped. If you cannot, randomly select a personnel to be killed."
Night Terrors,1,S,"Choose a personnel who has Medical or Science to be stopped. If you cannot, randomly select a personnel to be killed."
Cargo Pirates,3,D,"Randomly select a personnel to be stopped and if your opponent commands three Thief personnel, choose an additional personnel to be stopped."
Inferiority,3,D,"Place this dilemma in your core. When your personnel begin a mission attempt, your opponent may remove this dilemma from the game to draw three extra dilemmas and spend three extra in total cost on dilemmas."
Prefix Codes,3,S,"Place this dilemma on this mission. At the end of this mission attempt, if there are no damage markers on any of your ships at this mission, choose one of those ships and place this dilemma on it. Otherwise, overcome this dilemma. Damage - This ship is Shields -10."
Back to Basics,4,D,"Your opponent counts each personnel and ship card in his or her discard pile and shuffles each of those cards into his or her deck. If fourteen or more cards were shuffled into his or her deck this way, all your personnel are stopped."
Juxtaposition,0,D,Your opponent may return up to two Persistent dilemmas he or she owns from beneath one of your completed missions to his or her dilemma pile and this dilemma returns to its owner's dilemma pile.
Caretaker's Wave,2,S,"Unless you have Astrometrics and Engineer or 3 Navigation, stop all of your personnel and this dilemma is placed on your ship. Damage - At the start of each of your turns, the owner of this dilemma may place this ship at your mission."
Old Differences,4,D,"When you reveal this dilemma from the dilemma stack, if this mission is worth 35 or less points, it is cost -1. Randomly select two personnel to be stopped."
Sylvia,8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1 (-2 for each Decay event). Unless you have 2 Leadership, Officer, Security, and Cunning>38 or 2 Engineer, Programming, and 2 Science, randomly select two personnel to be placed in your opponent's brig."
Chula: The Chandra,4,D,Randomly select a personnel. Repeat this until you select a personnel with a cost equal to or greater than the first personnel that you selected. Stop each selected personnel.
The Phage,3,P,Choose a personnel to be placed in your discard pile.
The Clown: Guillotine,2,D,"Your opponent names a skill. Randomly select a personnel with that skill. Unless that personnel has an attribute>6, randomly select a second personnel with that skill. Each selected personnel is killed and this dilemma returns to its owner's dilemma pile."
Stripped Down,1,D,Your opponent moves up to two dilemmas from beneath this mission to another of your non-headquarters missions.
Harsh Conditions (Promo),3,P,"For each headquarters mission you command, your opponent names a skill. Place this dilemma on this mission. While your personnel is facing a dilemma, he or she cannot use those skills. At the end of this mission attempt, this dilemma is overcome."
Timescape (Promo),0,D,"Place this dilemma on this mission. You cannot begin a mission attempt at this mission. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Agonizing Encounter (Promo),5,D,"For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped."
Guess Who's Coming to Dinner? (Promo),2,D,"Choose a personnel who has Diplomacy or Integrity>6 to be stopped. If you cannot, randomly select a personnel to be killed."
Tragic Turn (Promo),3,D,"Place this dilemma on this mission (limit one per mission). When a dilemma is overcome here, if that dilemma killed any of your personnel, randomly select a personnel attempting the mission to be killed. Otherwise, if that dilemma stopped any of your personnel, randomly select a personnel attempting the mission to be stopped."
No Kill I (Promo),2,,All your personnel are stopped.
Chula: The Dice (Promo),3,,"Unless you have a personnel with Integrity>6, a second personnel with Cunning>6, and a third personnel with Strength>6, all your personnel are stopped."
Agonizing Encounter *(Promo),5,D,"For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped."
Tragic Turn *(Promo),3,D,"Place this dilemma on this mission (limit one per mission). When a dilemma is overcome here, if that dilemma killed any of your personnel, randomly select a personnel attempting the mission to be killed. Otherwise, if that dilemma stopped any of your personnel, randomly select a personnel attempting the mission to be stopped."
Skeleton Crew (Promo),0,D,"Place this dilemma on this mission. To begin a mission attempt at this mission, you must have at least six personnel involved. When you complete this mission, this dilemma is overcome."
Assassination Attempt (AC),4,P,Randomly select two personnel. Each of those personnel who does not have Treachery is killed.
Nanite Attack (AC),3,S,"Unless you have 2 Diplomacy and 2 Engineer or 2 Security and a Hand Weapon, this dilemma is placed on your ship. Damage - At the end of each of your turns, randomly select a personnel aboard this ship to be killed."
Tsiolkovsky Infection,8,S,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Anthropology, 2 Programming, and Cunning>38 or 2 Biology, Exobiology, and 2 Medical, randomly select three personnel to be killed."
Whisper in the Dark,8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed."
Kelvan Show of Force (R2),5,D,Your opponent chooses two personnel (except an Android or a Hologram). Randomly select one of those personnel to be killed.
Maglock (R2),3,S,"Unless you have 3 Officer or 3 Programming, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Personal Duty (R2),2,S,"Unless you have Leadership or Officer, all your personnel are stopped. If you have two or more personnel who have Leadership or Officer, randomly select all but one of those personnel to be stopped."
Face to Face (R2),4,S,Your opponent names a skill. Randomly select two personnel. Each of those personnel that has that skill is killed.
Head to Head (R2),4,P,Your opponent names a skill. Randomly select two personnel. Each of those personnel that has that skill is killed.
Gomtuu Shock Wave (R2),3,S,"Unless you have 2 Diplomacy and Integrity>32 or Telepathy and Integrity>35, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes-2."
Overwhelmed (R2),4,D,"Place this dilemma on this mission. When a personnel facing a dilemma at this mission uses his or her skills, he or she is stopped. At the end of this turn, return this dilemma to its owner's dilemma pile."
Biochemical Hyperacceleration (R2),3,P,"Randomly select three personnel. They cannot use their skills while facing this dilemma. Unless you have Biology, Geology, and Medical or 2 Security and Strength>38, those personnel are returned to their owner's hand."
Broken Captive (R2),2,D,"Your opponent chooses one of his or her captives. Unless you have the skills on that captive, all your personnel are stopped."
Counterinsurgency Program (R2),2,D,"Your opponent discards any number of event or equipment cards from hand and names a skill (except Acquisition, Intelligence, Law or Telepathy) for each one. Unless you have those skills, all your personnel are stopped."
In Training (R2),2,P,Randomly select a personnel who costs 1 or 2. All other personnel who cost 1 or 2 are stopped.
Talosian Trial (R2),0,P,Your opponent takes one of his or her planet dilemmas that is overcome beneath one of your missions and places it face down on top of his or her stack of chosen dilemmas.
The Dreamer and the Dream (R2),2,D,"Place this dilemma on this mission. At the end of this turn, this dilemma is overcome. If at that time this mission has not been completed, its owner discards his or her hand."
Tsiolkovsky Infection (R2),8,S,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Anthropology, 2 Programming, and Cunning>38 or 2 Biology, Exobiology, and 2 Medical, randomly select three personnel to be killed."
Whisper in the Dark (R2),8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed."
Code of Honor *A,3,P,"Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have Anthropology, Diplomacy, and Honor or Law, Security, and Strength>35, all your personnel are stopped."
Proximity-Actuated Field *A,3,D,"Unless you have Biology and 2 Security or 2 Physics and Cunning>35, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions."
Where No One Has Gone Before *A,4,S,"Unless you have Astrometrics, Navigation, Physics, and Cunning>34 or Exobiology, Leadership, Medical, and Integrity>32, place this dilemma in your core and place your ship on this dilemma. At the end of your next turn, remove this dilemma from the game and place the ship at your headquarters mission."
Cardassian Processing *A,2,D,"Unless you have Diplomacy, Honor, and Transporters or Law, Security, and Strength>30, randomly select a personnel to be stopped, and if the opponent on your left commands {Cardassia Prime}, that personnel is placed in your opponent's brig instead."
Outclassed *A,3,S,Unless you have unused Range>8 or Weapons>8 all your personnel are stopped.
Zero Hour *A,1,P,"Place this dilemma on this mission. Add 3 to each attribute requirement needed to complete this mission for each event in your core. At the end of this turn, this dilemma returns to its owner's dilemma pile."
An Issue of Trust *A,4,D,"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."
Armed Search Party *A,4,D,"Randomly select three personnel. Unless they have Strength>17 or you have a non-Hand Weapon equipment, for each headquarters mission you command, randomly select one of those personnel to be placed in your opponent's brig."
Thermokinetic Explosion *A,3,S,"Unless you have Astrometrics, Navigation, and Cunning>30 or total ship's attributes>21, place this dilemma on your ship and all your personnel are stopped. Damage - At the start of each of your turns, choose an opponent. That opponent may download a Damage card and place it on this ship."
No Kill I *A,2,P,All your personnel are stopped.
Psychokinetic Control *A,0,D,"Place this dilemma on this mission. Each personnel at this mission loses each skill he or she has gained. Each personnel cannot gain skills. Each personnel cannot increase his or her attributes. At the end of this mission attempt, this dilemma is overcome."
Swashbuckler at Heart *A,2,D,Reveal your hand and place each interrupt revealed this way on top of your deck in any order. Your opponent draws up to two cards.
Vian Test *A,5,P,"Choose a personnel to place in your opponent's brig. If that personnel is non-unique, your opponent draws up to three cards."
Chula: The Dice *A,3,D,"Unless you have a personnel with Integrity>6, a second personnel with Cunning>6, and a third personnel with Strength>6, all your personnel are stopped."
Paranoid Escape *A,4,P,"Place this dilemma on this mission. Randomly select a personnel to be removed from the game. You cannot play cards that have the same title as that personnel. When you complete this mission, put the personnel removed from the game in his or her owner's hand and this dilemma is overcome."
The Dal'Rok *A,3,D,"Unless your personnel have a total cost>17, for each headquarters mission you command, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
The Clown: Guillotine *A,2,D,"Your opponent names a skill. Randomly select a personnel with that skill. Unless that personnel has an attribute>6, randomly select a second personnel with that skill. Each selected personnel is killed and this dilemma returns to its owner's dilemma pile."
Accelerated Aging,2,D,"Place this dilemma on this mission. Each personnel at this mission cannot use their first-listed skill. At the end of this mission attempt, this dilemma is overcome."
Destined Journey,2,D,"Choose a personnel who has Honor or Leadership to be stopped. If that personnel has both Honor and Leadership, you may unstop your stopped personnel present and that personnel joins the mission attempt. If you cannot choose a personnel with Honor or Leadership, all your personnel are stopped."
Final Triumph,3,D,"Unless you choose to discard an event from your hand, your opponent chooses a personnel to be stopped."
Not Quite Domesticated Pets,3,D,"Unless you have Diplomacy, 2 Leadership and Integrity>28 or Biology, 2 Exobiology and Cunning>34, randomly select a personnel to be stopped. If your opponent has more events in his or her core than you and he or she does not command that personnel, place that personnel at his or her headquarters mission instead and that opponent now commands that personnel."
Subterranean Barrier,3,P,"Unless you have Biology, Exobiology, Geology and Integrity>25 or Diplomacy, Leadership, Officer and Cunning>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
"The Caretaker's ""Guests""",2,D,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your discard pile. Place the personnel your opponent chose on the top of his or her owner's deck.
Unbelievable Emergency,4,S,"Your opponent names a skill. For each headquarters mission you command, randomly select two personnel to be stopped. If either of those personnel that is selected has the named skill, kill that personnel instead."
Authenticate Artifacts (SR),2,P,"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Archaeology, your opponent chooses an Anthropology or Archaeology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Command Decisions (SR),1,S,"Choose a personnel who has Leadership or Officer to be stopped. If you cannot, randomly select a personnel to be killed."
Kolaran Raiders (SR),1,P,"Choose a personnel who has Leadership or Security to be stopped. If you cannot, randomly select a personnel to be killed."
Limited Welcome (SR),2,D,"Randomly select nine personnel. All your other personnel are stopped. Place this dilemma on this mission. When you attempt this mission again, after your opponent draws dilemmas, he or she may take this dilemma and add it to those drawn."
Ornaran Threat (SR),4,D,"Randomly select a personnel to be stopped. Unless you have Diplomacy and Medical or 2 Security, that personnel is killed instead, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Pinned Down (SR),2,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, randomly select a second personnel to be stopped. If you still have ten personnel remaining, randomly select a third personnel to be stopped."
Systems Diagnostic (SR),2,S,"Choose a personnel who has Engineer or Programming to be stopped. If you cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Triage (SR),1,P,"Choose a personnel who has Biology or Medical to be stopped. If you cannot, randomly select a personnel to be killed."
Wavefront (SR),2,S,"Unless you have a personnel who has 2 Astrometrics or a personnel who has 2 Navigation, your opponent chooses an Astrometrics or Navigation personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Instigate Dissension,4,D,"Randomly select two personnel to be stopped. Unless you command one or less headquarters missions, your opponent places this dilemma on one of your headquarters missions. You cannot play personnel at this mission. At the end of each of your turns, you may reveal three different non-[NA] personnel from hand who could be played at this headquarters to remove this dilemma from the game."
Breaking the Ice,3,S,"Unless you have 3 Geology or two non-Hand Weapon equipment, all your personnel are stopped."
We'll Never Know,3,P,"Unless you have 3 Physics or two non-Hand Weapon equipment, all your personnel are stopped."
Once More Unto the Breach,3,S,"Your opponent chooses a staffed Cloaking Device ship he or she commands at this mission. That ship is Weapons +1 until the end of this dilemma. Unless you have Shields>that ship's Weapons, randomly select a personnel to be killed and all of your personnel are stopped."
The Conscience of the King,3,D,Place this dilemma on this mission. Each planet dilemma and space dilemma revealed at this mission is cost -1.
Ferengi Locator Bomb,3,P,"Unless you have Navigation, Physics, and Programming or Acquisition, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped."
What Lies Beneath,3,S,"Unless you have Archaeology, Geology, and Honor or Anthropology, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped."
