Name,Unique,Type,Cost,Mission/DilemmaType,Span,Points,Quadrant,Affiliation,Icons,Staff,Keywords,Class,Species,Skills,Integrity/Range,Cunning/Weapons,Strength/Shields,Text
Shuttlepod One Reliable Transport,Y,Ship,2,,,,,Starfleet,[Pa],[Stf],,Shuttle,,,2,2,2,"You may play this ship to the same mission as your {Enterprise}. While you command more than five personnel aboard this ship, it is Range -2. When this ship is about to move to or from a mission where you have a [SF] ship, subtract 2 from the Range required."
Shuttlepod Two Landing Craft,Y,Ship,2,,,,,Starfleet,[Pa],[Stf],,Shuttle,,,2,2,2,"You may play this ship to the same mission as your {Enterprise}. While you command more than five personnel aboard this ship, it is Range -2. When this ship is about to move to or from your space mission, subtract 3 from the Range required. You may do this only once each turn."
Phase Pistol,N,Equipment,1,,,,,,,,Hand Weapon.,,,,,,,"While in combat, each of your [SF] personnel present is Strength +1."
Vulcan Tricorder,N,Equipment,2,,,,,,,,,,,,,,,"While facing a dilemma, you may discard a card from hand to have your [SF] Leadership personnel present gain Biology, Geology, or Science until the end of that dilemma."
Disinterested Visitant,N,Interrupt,0,,,,,,,,,,,,,,,"To play this interrupt, you must command three [SF] personnel. When you attempt a planet mission, if the first mission you completed this game was a space mission, subtract one from the total cost of your opponent may spend on dilemmas for that mission attempt."
Sarajevo Starfleet Vessel,Y,Ship,3,,,,,Starfleet,[Pa],[Cmd],,Unknown Class,,,6,5,5,"While you have a Transporters personnel aboard this ship, it is attributes +1."
Diplomatic Offer,N,Event,2,,,,,,,,,,,,,,,"Plays in your core. When your [SF] Diplomacy personnel is facing a dilemma, you may discard a card from hand to make that personnel attributes +1 and gain Leadership. These effects last until the end of that dilemma. You may only do this once each turn."
Jeffrey Pierce On The Edge,Y,Personnel,2,,,,,Starfleet,[Stf][Pa],,,,Human,Anthropology Diplomacy Programming Security,5,5,5,You may play this personnel at cost +1 to choose a [SF] personnel present. That personnel cannot be stopped until the end of this turn.
Jonathan Archer Headstrong Captain,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,Commander: Enterprise.,,Human,Diplomacy Engineer Honor Leadership Officer Security,6,6,6,"While this personnel is at your [Fed] mission requiring Diplomacy, you may attempt it."
Maxwell Forrest Starfleet Executive,Y,Personnel,2,,,,,Starfleet,[Cmd][Pa],,Admiral.,,Human,2 Diplomacy Leadership Medical,6,6,5,"When this personnel is attempting a mission, if the first mission you completed this game was a space mission, this personnel is attributes +1."
Retrieve Materiel,Y,Mission,0,P,2,30,A,[Fed][SF],,,,,,"Anthropology, Engineer, Transporters, and Cunning>30",,,,"When you complete this mission, you may download a non-Artifact equipment and place it here."
Near Polaris Survey New World,Y,Mission,0,P,2,35,A,Any affiliation (except [Bor]) may attempt this mission.,,,,,,"Biology, Geology, Science, and Cunning>30 or Engineer, Officer, Security, and Strength>31",,,,"When you are about to fail a mission attempt at this mission, randomly select a personnel present and place that personnel on the bottom of their owner's deck."
Callaghan,N,Personnel,3,,,,,Starfleet,[Stf][Pa],,,,Human,Engineer Physics Programming,5,6,5,"When you play this personnel, if the first mission you completed this game was a space mission, you may draw a card for each of your other [SF] Engineer personnel."
Travis Mayweather Space Boomer,Y,Personnel,3,,,,,Starfleet,[Stf][Pa],,,,Human,Astrometrics Geology 2 Navigation Transporters,5,6,5,"While this personnel is aboard your [SF] ship and the first mission you completed this game was a space mission, that ship is Range +2."
Investigate Stalled Ship,Y,Mission,0,S,4,35,A,[SF],,,,,,"2 Astrometrics, 2 Science, and Cunning>34 or 2 Diplomacy, 2 Officer, and Integrity>32",,,,"Any affiliation may attempt and complete this mission using these requirements: Biology, Officer, 2 Treachery, and Strength>36."
Navigate Minefield,Y,Mission,0,S,3,30,A,[SF],,,,,,"Diplomacy, Engineer, Navigation and Cunning>28",,,,"When you attempt this mission, if it has no dilemmas beneath it, your opponent may download a Damage card and place it on your ship."
Traverse Ion Storm,Y,Mission,0,S,3,40,A,Any affiliation may attempt this mission.,,,,,,"Astrometrics, Cunning>40, and (Biology and Science or Intelligence and Treachery)",,,,"When you score points for completing this mission, lose 5 points for each other mission that has already been completed."
Jeremy Lucas Phlox's Colleague,Y,Personnel,3,,,,,Starfleet,[Pa],,,,Human,Biology 2 Medical Science,5,7,5,"When your personnel present is about to be killed, you may discard a random card from hand and choose one of your other personnel present to be killed to prevent that."
Phlox Alien Physiologist,Y,Personnel,3,,,,,Starfleet,[Stf][Pa],,,,Denobulan,Biology Exobiology Medical Physics Science,6,6,5,"When your personnel present is about to be killed, you may stop this personnel to prevent that and place that personnel on your headquarters where he or she could be played."
First-hand Experience,N,Event,2,,,,,,,,,,,,,,,"To play this event, you must command three [SF] personnel. Plays in your core. When you are about to discard a card from hand, you may discard the top card of your deck instead. When you are about to discard the top card of your deck, you may discard a card from hand instead."
Reman Subterfuge,Y,Event,3,,,,,,,,,,,,,,,"To play this event, you must command three [Rom] personnel. Plays in your core. At the start of each opponent's Execute Orders segment, that player must discard a card from hand."
Williams Starfleet Commander,Y,Personnel,2,,,,,Starfleet,[Cmd][Pa],,,,Human,2 Anthropology Leadership Officer,5,6,5,"While this personnel is facing a dilemma and your [SF] personnel present is about to be stopped, you may stop this personnel to prevent that."
Bound by Addiction,N,Event,4,,,,,,,,Replicate - Kill your Jem'Hadar.,,,,,,,"To play this event, you must command three [Dom] personnel. Place a Jem'Hadar that you do not command from your hand on your ship. Destroy this event."
Rule of Acquisition #102,N,Event,2,,,,,,,,Decay: 3. Rule.,,,,,,,"To play this event, you must command three [Fer] personnel. Plays in your core. At the end of each of your turns, place the top card of your deck on this event. Order - Discard a card placed on this event to draw a card."
Emory Erickson Father of the Transporter,Y,Personnel,3,,,,,Starfleet,[Pa],,,,Human,Engineer Physics Programming 3 Transporters,4,7,3,"While this personnel is facing a dilemma, each Engineer personnel present is attributes +1 and gains Transporters."
U.S.S. Ganges One of the First,Y,Ship,4,,,,,Federation,[DS9],[Stf],,Danube Class,,,3,3,3,"While you command more than seven personnel aboard this ship, it is Range -3. This ship is attributes +1 for each [DS9] personnel aboard (limit +5)."
Destined To Be,N,Event,3,,,,,,,,Prophet. Replicate - Spend two counters.,,,,,,,"To play this event, you must command three [Baj] personnel. Discard a card from hand to take another card from your discard pile into hand. Destroy this event."
Restorative Responsibility,N,Event,3,,,,,,,,,,,,,,,"To play this event, you must command three [SF] personnel. Destroy an event in an opponent's core for each of your completed space missions. Destroy this event."
Defend Our People,N,Event,1,,,,,,,,Replicate - Discard a [Maq] personnel from hand.,,,,,,,"To play this event, you must command three [Fed][Maq] personnel. Each opponent places a random card from hand on top of his or her deck. Destroy this event."
Seal the Temple's Door,N,Event,1,,,,,,,,Pah-wraith. Replicate - Place the top card of your dilemma pile face up beneath an opponent's incomplete non-headquarters mission.,,,,,,,"To play this event, you must command three [Car] personnel. Draw two cards. Destroy this event."
Transporter Buffer,N,Event,2,,,,,,,,Replicate - Discard two cards from hand.,,,,,,,"To play this event, you must command three [DS9] personnel. Place an event from your discard pile on top of your deck. Destroy this event."
Burrows Diagnostic Tech,Y,Personnel,2,,,,,Starfleet,[Stf][Pa],,,,Human,Astrometrics Officer Transporters,5,5,5,"When your [SF] personnel present is about to be stopped by a dilemma, you may kill this personnel to prevent that and make that personnel attributes +3 until the end of this turn."
Dallas,N,Personnel,1,,,,,Starfleet,[Stf][Pa],,,,Human,Archaeology Physics Science,5,5,5,
Daniels Temporal Agent,Y,Personnel,1,,,,,Starfleet,[Stf][Fut],,,,Human/Alien,Anthropology Intelligence Physics Security,6,6,6,"When this personnel is stopped by a dilemma, return him to his or her owner's hand."
Kelby Arrogant Engineer,Y,Personnel,2,,,,,Starfleet,[Stf][Pa],,,,Human,Engineer Programming Transporters,5,6,5,"Order - If this personnel is aboard your ship, discard the top card of your deck to remove a Damage card from that ship. You may only do this once each turn."
McDermott,N,Personnel,2,,,,,Starfleet,[Cmd][Pa],,,,Human,Honor Leadership Officer Security Transporters,6,5,5,
Revelry,N,Dilemma,2,D,,,,,,,,,,,,,,"For each of your headquarters missions, randomly select a personnel to be stopped. You may place two personnel from hand in your discard pile to prevent this."
Avert Solar Implosion,Y,Mission,0,P,2,35,A,Any affiliation (except [Bor]) may attempt this mission.,,,,,,"Archaeology, Geology, Physics, Science, and Cunning>34 or Anthropology, Honor, Leadership, Officer, and Strength>38",,,,
Deliver Ancient Artifact,Y,Mission,0,P,2,40,A,Any affiliation (except [Bor]) may attempt this mission.,,,,,,"Archaeology, Exobiology, 2 Geology, Science, and Cunning>34 or Diplomacy, 2 Honor, Leadership, Security, and Strength>38",,,,
Deliver Evidence,Y,Mission,0,S,2,35,A,Any affiliation (except [Bor]) may attempt this mission.,,,Region: Bajor System.,,,"Anthropology, Honor, Intelligence, Officer, and Integrity>32 or Archaeology, Navigation, Science, Security, and Cunning>34",,,,
U.S.S. Enterprise-D Federation Flagship,Y,Ship,6,,,,,Federation,[TNG],[Cmd][Stf][Stf][Stf],,Galaxy Class,,,8,8,9,"When you complete a space mission, if this ship is at that mission and you have three [Cmd] aboard this ship, score 10 points."
Maquis Vendetta,N,Dilemma,3,P,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. If that personnel has Officer or Security, randomly select an additional personnel to be stopped."
Shields Up!,N,Dilemma,3,S,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. If that personnel has Astrometrics or Navigation, randomly select an additional personnel to be stopped."
An Issue of Trust,N,Dilemma,4,D,,,,,,,,,,,,,,"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."
Destiny Reset,N,Event,5,,,,,,,,Temporal.,,,,,,,"Plays in your core. When you have drawn dilemmas, you may destroy this event and remove those dilemmas from the game to search your dilemma pile for up to two dilemmas whose total cost does not exceed the number of dilemmas you removed. Place those dilemmas on your dilemma stack in any order. Then shuffle your dilemma pile."
The Doctor Emergency Medical Hologram,Y,Personnel,4,,,,,Federation,[Voy],,,,Hologram,Biology Exobiology 2 Medical Science,6,7,5,"When your [Voy] personnel present is about to be killed by a dilemma that costs 3 or more, you may discard two cards from hand to stop that personnel instead."
Not Quite Domesticated Pets,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless you have Diplomacy, 2 Leadership and Integrity>28 or Biology, 2 Exobiology and Cunning>34, randomly select a personnel to be stopped. If your opponent has more events in his or her core than you and he or she does not command that personnel, place that personnel at his or her headquarters mission instead and that opponent now commands that personnel."
Carol Marcus Intelligent Scientist,Y,Personnel,3,,,,,Non-Aligned,[Pa],,,,Human,2 Exobiology Honor Physics Science,6,5,4,This personnel is Cunning +1 for each card in an opponent's hand (limit +5).
Jadzia Dax Elder,Y,Personnel,4,,,,,Bajoran,[Cmd][DS9],,Host. Vedek.,,Trill,Anthropology Navigation Programming Science Security,6,7,6,"When you play this personnel, for each Vedek you command, she is cost -1."
William T. Riker Skilled Commander,Y,Personnel,3,,,,,Federation,[Cmd][TNG],,Commander: U.S.S. Enterprise-D.,,Human,Anthropology 2 Leadership Navigation Officer Programming,6,6,6,"When your Leadership personnel present is killed by a dilemma, you may discard two cards from your hand to download a [TNG] personnel."
Bio-neural Computer Core,N,Dilemma,4,D,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. If your opponent does not command that personnel and you still have nine personnel remaining, place him or her on your opponent's headquarters mission instead, then randomly select a second personnel that your opponent does not command to be placed on that opponent's headquarters mission. That opponent now commands those personnel."
Necessary Execution,N,Dilemma,5,P,,,,,,,,,,,,,,"Your opponent chooses a personnel to be killed. If you do not command a completed space mission, he or she chooses an additional personnel to be killed."
The Long Journey Home,N,Event,2,,,,,,,,,,,,,,,"To play this event, you must command three [Voy] personnel. Plays on your {Caretaker's Array}. When you command four completed [DQ] space missions and have 100 or more points, you win the game."
Surprise Snag,N,Interrupt,0,,,,,,,,,,,,,,,"To play this interrupt, you must discard the top three cards of your deck. When you are about to draw dilemmas, draw one extra dilemma and spend one extra in total cost on dilemmas."
Chakotay Bridge Between Two Crews,Y,Personnel,3,,,,,Federation,[Cmd][Voy],,,,Human,Anthropology Diplomacy Honor Security,6,5,6,"When your [Fed] personnel present is about to be stopped by a dilemma, you may destroy an event in your core to prevent that."
Harry Kim Eager to Please,Y,Personnel,3,,,,,Federation,[Stf][Voy],,,,Human,Astrometrics Biology Physics Programming Science Transporters,6,6,5,"While this personnel is facing a dilemma at a [DQ] mission, each of your Programming personnel present is attributes +1."
Quark's Treasure Sabotaged Shuttle,Y,Ship,5,,,,,Ferengi,,[Stf][Stf],,Na'Far Class,,,7,5,6,"Order - If this ship has its Commander aboard it, lose 5 points to take an additional turn after this one. At the end of that turn, you lose the game."
Unbelievable Emergency,N,Dilemma,4,S,,,,,,,,,,,,,,"Your opponent names a skill. For each headquarters mission you command, randomly select two personnel to be stopped. If either of those personnel that is selected has the named skill, kill that personnel instead."
Saavik Protegee,Y,Personnel,3,,,,,Federation,[Stf][TOS][Pa][E],,,,Vulcan,Law Leadership Navigation Officer,5,7,6,"When you play this personnel, if James T. Kirk is at this mission, you may download {No-Win Situation}."
Kira Nerys Hero of Bajor,Y,Personnel,2,,,,,Bajoran,[Cmd][DS9],,Vedek.,,Bajoran,Archaeology Navigation Officer Security,6,6,6,"While this personnel is facing a dilemma, you may remove a card in your discard pile from the game to make her gain a skill from your Vedek present until the end of that mission attempt. You may only do this once each turn."
Bareil Antos Escort,Y,Personnel,4,,,,,Bajoran,,,Vedek.,,Bajoran,Anthropology Diplomacy 2 Honor Leadership Security,8,6,5,Order - Stop this personnel to reveal a Vedek or Kai personnel from your hand. You may discard cards from the top of your deck equal to that personnel's cost to place that personnel at your mission where he or she could be played.
Vedek Assembly Transport,N,Ship,5,,,,,Bajoran,,[Stf][Stf],,Bestri Class,,,6,5,5,"This ship is attributes +1 for each of these keywords you have aboard: Kai, Prylar and Vedek."
Jonathan Archer Bearer of Surak's Katra,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,,,Human,Anthropology Archaeology Diplomacy Honor Security,6,6,6,"When your non-[SF] personnel is about to be stopped by a dilemma, you may discard a card from your hand to have this personnel gain a skill from him or her until the end of the mission attempt."
T'Pol Non-believer,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,,,Vulcan,Anthropology Honor Leadership Science Security,6,7,6,"When this personnel uses a skill to complete a mission, you may take an Artifact or event from your discard pile into hand. You may do this only once each turn."
Charles Tucker III Standing In,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,Commander: Enterprise.,,Human,2 Engineer Programming 2 Transporters,6,6,6,"During your Play and Draw Cards segment, you may spend 1 additional counter for each space mission you have completed."
Enterprise Battle Hardened,Y,Ship,4,,,,,Starfleet,[Pa],[Cmd],,NX Class,,,6,5,5,Order - Discard a Temporal event from your hand to make this ship Range +2 until the end of this turn.
James T. Kirk Irrational Human Being,Y,Personnel,3,,,,,Federation,[Cmd][E][Pa],,,,Human,Anthropology Honor Leadership Security,7,6,5,"When your Leadership personnel present is selected by a dilemma, you may stop this personnel to make that personnel attributes +3 until the end of that dilemma."
Jean-Luc Picard Captain of the Enterprise,Y,Personnel,4,,,,,Federation,[Cmd][TNG],,Commander: U.S.S. Enterprise-D.,,Human,Diplomacy Honor Leadership Officer Programming Security,8,6,6,"When your [Fed] personnel present is killed by a dilemma, you may make this personnel attributes +3 and gain Leadership until the end of the turn. You may do this only once each turn."
Worf The Strongest Heart (Promo),Y,Personnel,4,,,,,Klingon,[Cmd],,,,Klingon,2 Honor Leadership Officer Security,8,5,8,"When your Host or Honor Klingon present is about to be stopped by a dilemma, you may discard an event from hand to prevent that."
Jadzia Dax The Second Heart (Promo),Y,Personnel,3,,,,,Klingon,[Stf],,Host.,,Trill,Astrometrics Honor Physics Science,6,7,6,Order - Stop your Honor Klingon present and destroy an event in your core to take an event from your discard pile into hand.
Kathryn Janeway Forceful Captain,Y,Personnel,3,,,,,Federation,[Cmd][Voy],,Commander: U.S.S. Voyager.,,Human,Diplomacy Engineer Leadership Officer Science,6,6,5,"While this personnel is facing a dilemma at a [DQ] mission, she is attributes +4."
Caretaker's Array,Y,Mission,0,S,2,20,D,[Fed][NA],,,,,,"Biology, Diplomacy, Science, and Integrity>22",,,,"At the start of each of your turns, you may discard a card from hand to download {Finding Our Way}. When a card instructs you to place a ship at your headquarters mission, that ship may be placed at this mission instead."
U.S.S. Voyager Home Away From Home,Y,Ship,6,,,,,Federation,[Voy],[Cmd][Cmd][Stf][Stf],,Intrepid Class,,,9,9,8,"While you do not command a headquarters mission, you may play this ship at {Caretaker's Array}. While this ship is at a [DQ] mission, you may play [Voy] personnel, [NA] personnel, and equipment aboard this ship. When you play this ship, you may place up to two [Voy] personnel from your hand aboard this ship."
Finding Our Way,N,Event,1,,,,,,,,,,,,,,,"To play this event, you must not command a headquarters mission. Plays on your {Caretaker's Array}. Cards an opponent owns cannot prevent or destroy this event. When a card instructs you to place a personnel on your headquarters mission, that personnel may be placed aboard your [Voy] ship instead. Order - Discard a card from hand to download a [Voy] ship. You may do this only once each turn."
Nose to Nose,N,Dilemma,0,D,,,,,,,,,,,,,,"Randomly select two personnel. If they both have the same cost, they are both stopped."
Martia Duplicitous Chameloid,Y,Personnel,3,,,,,Non-Aligned,[Pa],,Shape-shifter.,,Chameloid,Biology Exobiology Science Treachery,4,5,5,Order - This personnel gains one skill and one keyword from one of your personnel present. She keeps that skill and keyword until this order is executed again.
Imagined Emergency,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless you have Engineer, Exobiology, and Medical or Leadership, Security, and Strength>30, randomly select a personnel to be stopped and your opponent may move up to two dilemmas from beneath one of your missions to another of your non-headquarters missions."
Contaminating a Culture,N,Dilemma,3,D,,,,,,,,,,,,,,Randomly select a personnel to be killed. You may prevent this by placing one of your equipment cards present in its owner's discard pile.
A Sight for Sore Eyes,Y,Event,2,,,,,,,,,,,,,,,"To play this event, you must command three [SF] personnel. Plays in your core. At the start of each of your turns, score 5 points. At the end of each of your turns, if you have at least 5 points, lose 5 points."
Fifth Neonatal Drone,Y,Personnel,3,,,,,Borg,[Stf],,Drone.,,Borg,Engineer Medical Security,5,5,4,"When you play this personnel, you may return a non-dilemma card on your Decay event to its owner's hand."
Second Neonatal Drone,Y,Personnel,3,,,,,Borg,[Stf],,Drone.,,Borg,Exobiology Programming Science,5,5,5,"When your unique Borg present is about to be stopped, you may discard a random card from hand and stop this personnel to prevent that."
Erika Hernandez Comparable Captain,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,Commander: Columbia.,,Human,Anthropology Diplomacy Leadership Officer Security,6,6,6,"While this personnel is aboard your {Columbia}, that ship is attributes +2."
Daniel Leonard Cautious Admiral,Y,Personnel,3,,,,,Starfleet,[Cmd][Pa],,Admiral.,,Human,Leadership 2 Navigation Officer,5,5,5,"When you play this personnel, you may download a [SF] ship."
Tarok Observe Kazon Ritual,Y,Mission,0,P,2,35,D,[Fed][Vid],,,,,,"Anthropology, Honor, Officer, Transporters and Integrity>31 or Astrometrics, Navigation, Security, Treachery, and Strength>34",,,,
Obtain Advanced Technology,Y,Mission,0,P,2,30,D,Any affiliation (except [Bor]) may attempt this mission.,,,,,,"Anthropology, Diplomacy, Honor, and Integrity>29 or Security, Transporters, Treachery, and Cunning>30",,,,
The Dominion Will Prevail,N,Event,3,,,,,,,,Maneuver.,,,,,,,"Plays in your core. Order - Destroy this event to begin an engagement involving your [Dom] Officer personnel. If you win, the opponent on your left places the top two dilemmas of his or her dilemma pile beneath one of your non-headquarters missions."
Bennet,N,Personnel,2,,,,,Federation,[Stf][Voy],,,,Human,Archaeology Geology Science Security,5,5,5,"When you play this personnel, you may draw a card. If you do, discard a card from hand."
Targeting the Nacelles,N,Interrupt,0,,,,,,,,Pursuit.,,,,,,,"When your opponent's ship is about to move from a mission where you have a staffed ship that has its Commander aboard, you may discard an event from hand to make that opponent's ship Range -3 until the end of the turn."
Jadzia Dax Defiant Captain,Y,Personnel,3,,,,,Federation,[Stf][DS9],,Commander: U.S.S. Defiant. Host.,,Trill,Astrometrics Officer Physics Science Transporters,6,7,6,"While this personnel is aboard your {U.S.S. Defiant}, she loses [Stf] and gains [Cmd] and Leadership."
U.S.S. Defiant Patrolling Warship,Y,Ship,7,,,,,Federation,[DS9],[Cmd][Cmd][Cmd][Stf],Cloaking Device.,Defiant Class,,,8,10,10,"When an opponent's ship moves to this mission, if this ship's Commander is aboard it, that opponent's ship is stopped."
Sweet Nothings,N,Interrupt,0,,,,,,,,,,,,,,,"To play this interrupt, you must command three [Fer] personnel. Order - Choose an opponent to reveal his or her hand. You may draw a card for each interrupt revealed."
Collect Omicron Particles,Y,Mission,0,S,4,35,D,Any affiliation may attempt this mission.,,,Nebula.,,,"Astrometrics, Engineer, Leadership, Navigation, and Cunning>36",,,,"When a ship is about to move between another [DQ] mission and this mission, subtract 1 from the Range required."
Explore Micro-Wormhole,Y,Mission,0,S,4,30,D,[Fed][Rom],,,,,,"Astrometrics, Officer, Transporters, and Cunning>32",,,,"When you complete this mission, you may place any number of personnel on your ship here on your ship at an [AQ] mission."
Investigate Alleged Murder,Y,Mission,0,P,2,30,D,[Fed],,,,,,"Diplomacy, Law, Officer, and Integrity>27",,,,"You may attempt and complete this mission using your [NA] personnel with these requirements: Anthropology, Security, Transporters, and Strength>28."
Vhnori Graveyard Investigate Unknown Element,Y,Mission,0,P,2,30,D,Any affiliation (except [Bor]) may attempt this mission.,,,,,,"Anthropology, Leadership, Officer, and Integrity>27 or Exobiology, Geology, Science, and Cunning>30",,,,
Kathryn Janeway Clever Captain,Y,Personnel,2,,,,,Federation,[Cmd][Voy],,,,Human,Diplomacy Engineer 2 Leadership Science,6,6,5,
Seven of Nine Reclaimed Drone,Y,Personnel,2,,,,,Federation,[Stf][Voy],,,,Borg,Astrometrics Engineer Exobiology Physics Programming,5,6,6,
A Pattern of Lies,N,Dilemma,2,D,,,,,,,,,,,,,,"Randomly select three personnel. Unless at least one of them is a different species than the others, all three are stopped. Otherwise, choose one of those personnel to be stopped."
Making It Work,N,Event,2,,,,,,,,Replicate - Discard a card from hand.,,,,,,,"To play this event, you must command three [Voy] personnel. Remove a damage card from your ship. Destroy this event."
B'Elanna Torres Straightforward Engineer,Y,Personnel,3,,,,,Federation,[Cmd][Voy],,,,Human/Klingon,2 Engineer Physics Programming Science Treachery,5,6,7,"Order - If this personnel is aboard your ship, discard a card from hand to remove a Damage card from that ship. You may do this only once each turn."
A Long Road,N,Interrupt,0,,,,,,,,,,,,,,,"To play this interrupt, you must command a Navigation personnel. Order - Discard a card from hand to take up to two Pursuit cards from your discard pile into hand."
Warp Speed Transfer,N,Interrupt,0,,,,,,,,Pursuit.,,,,,,,"While your personnel aboard a ship are facing a dilemma, move your staffed ship to that mission from a different mission and place one of your personnel aboard that ship aboard the ship attempting the mission. That personnel joins the mission attempt."
Matthew Dougherty Misguided Admiral,Y,Personnel,4,,,,,Federation,[Cmd][E],,Admiral.,,Human,Diplomacy Leadership Officer Treachery,3,6,5,Order - Destroy your staffed [E] ship or your staffed [TNG] ship with two or more staffing icons to make all your personnel attributes +3 until the end of this turn. You may do this only once each turn.
Drake Voyager Shuttle,Y,Ship,3,,,,,Federation,[Voy],[Stf],,Type-8 Shuttlecraft,,,3,3,3,"While you do not command a headquarters mission, you may play this ship at {Caretaker's Array} or at the same mission as your {U.S.S. Voyager}. While you command six or more personnel aboard this ship, it is Range -2. While you command a Temporal event in your core, this ship is Range +3."
Chameloid Chicanery,N,Dilemma,3,D,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. If your opponent has an Infiltrator at this mission, randomly select a personnel to be killed."
Vosk Temporal Fanatic,Y,Personnel,3,,,,,Non-Aligned,[Cmd][Fut],,,,Na'kuhl,Astrometrics Engineer Exobiology Leadership Officer 2 Treachery,1,6,5,"For each Temporal event in your core, this personnel is attributes +1 (limit +4). When you do not command a Temporal card, place this personnel in his owner's discard pile."
Columbia The Second Warp Five Ship,Y,Ship,4,,,,,Starfleet,[Pa],[Cmd],,NX Class,,,6,5,5,"While the first mission you completed this game was a space mission, this ship is attributes +1. While a personnel aboard this ship is facing a dilemma, you may discard a card from hand to have that personnel gain Astrometrics or Science until the end of the mission attempt."
Thermokinetic Explosion,N,Dilemma,3,S,,,,,,,,,,,,,,"Unless you have Astrometrics, Navigation, and Cunning>30 or total ship's attributes>21, place this dilemma on your ship and all your personnel are stopped. Damage - At the start of each of your turns, choose an opponent. That opponent may download a Damage card and place it on this ship."
New Discovery,N,Event,2,,,,,,,,Pursuit.,,,,,,,"Plays in your core. When your ship moves from a mission where an opponent has a ship, you may examine the top two dilemmas of that opponent's dilemma pile and replace them in any order."
Preventative Ritual,N,Interrupt,0,,,,,,,,,,,,,,,"To play this interrupt, you must command three [Rom] personnel. Order - Reveal the top four cards of an opponent's deck and place one of those cards on the bottom of that deck. Replace the remaining cards in any order on top of that deck."
Stadi Focused,Y,Personnel,3,,,,,Federation,[Stf][Voy],,,,Betazoid,Astrometrics Geology 2 Navigation Telepathy Transporters,6,6,5,"When you play this personnel, you may make your [Voy] ship Range +2 until the end of the turn."
U.S.S. Yangtzee Kiang Modified Transport,Y,Ship,3,,,,,Federation,[DS9],[Stf],,Danube Class,,,3,3,3,"While you command eight or more personnel aboard this ship, it is Range -3. When this ship is about to move between your headquarters mission and a non-headquarters mission, subtract 1 from the Range required. Order - Discard two events from hand to make this ship Range +2 until the end of this turn."
Confessions of a Captain,N,Event,2,,,,,,,,,,,,,,,"Plays in your core. While your [Fed][Voy] Leadership personnel is attempting a mission, you may destroy this event to make him or her gain a skill from a [Fed][Voy] personnel present until the end of this turn."
Hoshi Sato Empress *AP,Y,Personnel,2,,,,,Starfleet,[Pa][AU],,,,Human,Anthropology Diplomacy Officer Programming 2 Treachery,2,6,5,
Charvanek Fleet Commander *AP,Y,Personnel,2,,,,,Romulan,[Cmd][Pa],,,,Romulan,Archaeology Diplomacy Officer Physics Science,5,6,5,
Compassionate Interference,N,Dilemma,2,P,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. Unless you reveal a Biology personnel from your hand or reveal a Geology personnel from your hand, that personnel is killed instead."
Hull Breach,N,Dilemma,2,S,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. Unless you reveal an Astrometrics personnel from your hand or reveal a Navigation personnel from your hand, that personnel is killed instead."
Last Gasp,N,Dilemma,3,D,,,,,,,,,,,,,,"Randomly select a personnel to be stopped. Unless you reveal a Leadership personnel from your hand or reveal an Officer personnel from your hand, that personnel is killed instead."
Parallel Course,Y,Event,1,,,,,,,,Pursuit.,,,,,,,"Plays in your core. When your opponent moves from a mission where you have a staffed ship, you may take a dilemma from beneath that mission and return it to its owner's dilemma pile."
Basso Tromac Smug Subordinate,Y,Personnel,4,,,,,Bajoran,[Pa],,,,Bajoran,Biology Exobiology Law Treachery,3,5,6,"While this personnel is attempting a mission, you may remove a card in your discard pile from the game to add its cost to this personnel's attributes until the end of the mission attempt. You may do this only once each turn."
Grebnedlog Pakled Captain,Y,Personnel,2,,,,,Non-Aligned,[Cmd],,Commander: Mondor.,,Pakled,Exobiology Honor Leadership Officer,6,6,4,"While present with a non-[NA] personnel, this personnel loses Honor and gains Transporters and Treachery."
Lal Beloved,Y,Personnel,2,,,,,Non-Aligned,,,,,Android,Programming,5,5,5,"While this personnel is attempting a mission, you may reveal three Androids from hand to make her attributes +4 and gain any two skills until the end of the turn. If you do this, she is killed at the end of this turn. You may only do this once each turn."
D'Tan Curious Youth,Y,Personnel,3,,,,,Romulan,,,Dissident.,,Romulan,Anthropology Archaeology Geology Honor Science,7,4,4,"When this personnel is stopped by a dilemma, choose an opponent to discard the top card of his or her deck."
