Name,Unique,Cost,Affiliation,Icons,Keywords,Species,Skills,Integrity,Cunning,Strength,Text
Worf Security Detail Leader,Y,4,Federation,[Cmd][TNG],,Klingon,2 Honor Leadership Officer Security,8,5,8,Order - Examine a number of cards from the top of an opponent's dilemma pile equal to the number of other [Fed] Security personnel you command (limit three). Then replace them in the same order. You may do this only once each turn.
Worf Strategic Operations Officer,Y,4,Federation,[Cmd][DS9],,Klingon,Diplomacy 2 Honor Leadership Officer,8,5,8,"When an engagement involving your [Fed] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."
B'amara,N,2,Klingon,[Stf],,Klingon,Biology Honor Medical Physics Programming,6,5,6,
B'Etor Sister of Duras,Y,2,Klingon,[Cmd],Smuggler.,Klingon,Leadership Physics Science 2 Treachery,2,6,6,"When you play this personnel, if you command {Lursa}, you may download a Treachery personnel."
Bo'rak Klingon Intelligence Agent,Y,3,Klingon,[Stf],,Klingon,Engineer Intelligence Physics Transporters,6,4,7,"When an opponent downloads a card, that opponent must place it on top of his or her deck instead of in his or her hand."
Dokar,N,1,Klingon,[Cmd],,Klingon,Biology Navigation Officer,5,4,7,
Duras Son of a Traitor,Y,3,Klingon,[Cmd],High Council Member.,Klingon,Diplomacy Law Leadership Programming 2 Treachery,2,6,7,"When an opponent completes a mission, if this personnel is at that mission, you may kill one of that opponent's personnel at that mission."
Gowron Leader of the High Council,Y,4,Klingon,[Cmd],Chancellor.,Klingon,Anthropology Honor Law 2 Leadership,6,5,8,"When you play this personnel, you may download an Honor Klingon."
J'Dan,N,1,Klingon,[Stf],Smuggler.,Klingon,Exobiology Science Treachery,3,5,7,
K'nera Klingon Defense Force Commander,Y,2,Klingon,[Cmd],,Klingon,Honor Law Officer Security Transporters,6,4,7,
Kahlest GhojmoH of Worf,Y,2,Klingon,,,Klingon,Anthropology Honor Medical,7,5,3,Each of your other Honor Klingons present is Cunning +1.
Kahmis,N,1,Klingon,[Stf],,Klingon,Leadership Security Transporters,6,4,7,
Kang Honored Warrior,Y,3,Klingon,[Cmd],Commander: I.K.S. Lukara.,Klingon,Honor Leadership Officer Physics Security,6,6,7,"When you play this personnel, if you command {Koloth} or {Kor}, you may download a [Kli] {K'Vort-class ship}."
"Kitrik ""The Tyrant Molor""",Y,2,Klingon,[Stf],,Klingon,Exobiology Medical Programming Science,6,5,6,"When you play this personnel, if you command a mission requiring Science, you may draw a card."
Koloth D'akturak,Y,3,Klingon,[Cmd],,Klingon,2 Diplomacy Exobiology Honor,7,6,7,"When you play this personnel, if you command Kang or Kor, you may download an Assault card."
Kor Dahar Master,Y,3,Klingon,[Cmd],,Klingon,Anthropology Archaeology Honor 2 Leadership,6,6,6,"When you play this personnel, you may download {Jadzia Dax}, {Kang}, or {Koloth}."
Koroth High Cleric of Boreth,Y,3,Klingon,,,Klingon,Anthropology Archaeology Biology Leadership Science,5,7,6,"When you play this personnel, you may download {Kahless}."
Kroval,N,1,Klingon,[Stf],,Klingon,Archaeology Geology Science,5,5,6,
Kurak Warp Field Specialist,Y,3,Klingon,[Stf],,Klingon,Astrometrics Physics Programming Science Transporters,4,7,6,"While an opponent has not completed a mission, that opponent must discard a card from hand to use the skills on one of his or her Science personnel."
Kurn Squadron Commander,Y,4,Klingon,[Cmd],Commander: I.K.S. Hegh'ta.,Klingon,Astrometrics Diplomacy Honor Leadership Navigation Officer,6,5,7,"When an engagement involving your [Kli] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."
Lursa Sister of Duras,Y,2,Klingon,[Cmd],Smuggler.,Klingon,Engineer Geology Leadership 2 Treachery,2,6,7,"When you play this personnel, if you command {B'Etor}, you may download a Treachery personnel."
Martok Soldier of the Empire,Y,4,Klingon,[Cmd],Commander: I.K.S. Rotarran. General. High Council Member.,Klingon,2 Honor 2 Leadership Navigation Officer,8,6,8,Each of your [Kli] ships at this mission is Weapons +1.
Meraht,N,2,Klingon,,,Klingon,Anthropology Exobiology Honor Intelligence Transporters,6,5,6,
Morka Klingon Intelligence Agent,Y,3,Klingon,[Cmd],,Klingon,Astrometrics Geology Intelligence Officer,6,5,7,"When an opponent is about to place a card on top of his or her deck, you may discard a card from hand to place that opponent's card on the bottom of his or her deck instead."
Nu'Daq Tenacious Rival,Y,3,Klingon,[Cmd],Commander: I.K.S. Maht-H'a.,Klingon,Archaeology Exobiology Leadership Navigation Officer Treachery,4,6,7,"When you play this personnel, you may discard a card from hand to take a card from your discard pile into hand."
T'vis,N,2,Klingon,[Stf],,Klingon,Diplomacy Honor Law Security,6,5,7,
Vorax,N,2,Klingon,[Stf],,Klingon,Astrometrics Engineer Geology Programming,6,5,7,
Acost Jared,N,1,Non-Aligned,,,Ventaxian,Anthropology Law Leadership,5,5,5,
Altovar Vindictive Criminal,Y,2,Non-Aligned,[Stf],Thief.,Lethean,Exobiology Medical Telepathy 2 Treachery,2,5,6,Order - Return this personnel to his owner's hand to return an opponent's Medical personnel present to his or her owner's hand.
Berild,N,2,Non-Aligned,[Cmd],,Solari,Archaeology Law Leadership Officer,5,5,7,
Bhavani,N,2,Non-Aligned,,,Barzan,Diplomacy Honor Law Leadership Physics,6,5,4,
Brull Encampment Leader,Y,2,Non-Aligned,[Cmd],Gatherer. Thief.,Acamarian,Astrometrics Diplomacy Honor Leadership Navigation,6,5,6,
Chorgan Leader of the Gatherers,Y,2,Non-Aligned,[Cmd],Gatherer. Thief.,Acamarian,Law Leadership Physics Transporters,4,5,6,"While this personnel is facing a dilemma, if another Gatherer is present, this personnel is attributes +1 and gains Diplomacy and Leadership."
Dallan,N,1,Non-Aligned,[Stf],Gatherer. Thief.,Acamarian,Medical Navigation Physics,4,4,6,
Dathon Speaker of Tama,Y,4,Non-Aligned,[Cmd],Commander: Tama.,Tamarian,2 Diplomacy 2 Honor Leadership Officer,8,6,6,"While your other Diplomacy personnel is present, you may meet Strength requirements of each dilemma this personnel faces using Integrity instead."
Durg,N,2,Non-Aligned,[Stf],Smuggler.,Markalian,Acquisition Exobiology Medical Navigation Treachery,3,5,7,
Etana Jol Ktarian Operative,Y,3,Non-Aligned,[Cmd],,Ktarian,2 Exobiology Medical Programming Science Treachery,3,6,4,"Order - If this personnel is aboard your ship, discard a personnel or ship from hand that matches her ship's affiliation to draw a card. You may do this only once each turn."
Galnar,N,1,Non-Aligned,[Stf],Gatherer. Thief.,Acamarian,Navigation Programming Science,4,4,5,
Grathon Tolar Hologram Forger,Y,2,Non-Aligned,,,Alien,Engineer Exobiology 2 Programming 2 Treachery,2,7,3,
Grenis,N,1,Non-Aligned,[Cmd],,Solari,Geology Leadership Officer,6,5,6,
Inad,N,2,Non-Aligned,,,Ullian,Anthropology Biology Exobiology Honor Telepathy,7,5,3,
Jo'Bril Patient Schemer,Y,4,Non-Aligned,[Cmd],Assassin. Thief.,Takaran,Astrometrics Navigation Physics 2 Science 2 Treachery,2,6,6,"When this personnel is about to be killed by a dilemma, place him on top of his owner's deck instead."
Kamala The Perfect Mate,Y,3,Non-Aligned,,,Kriosian,2 Anthropology Archaeology Diplomacy Telepathy,6,6,4,Order - This personnel gains one skill from another personnel present. She keeps this skill until the start of your next turn. You may do this only once each turn.
Kolos,N,1,Non-Aligned,[Cmd],,Alien,Acquisition Navigation Transporters,4,5,6,
Leyor,N,1,Non-Aligned,,,Caldonian,Astrometrics Diplomacy Science,5,5,6,
Marouk Sovereign of Acamar,Y,1,Non-Aligned,,,Acamarian,Diplomacy Law 2 Leadership,6,5,3,"While a Gatherer is at this mission, he gains Geology and loses Thief."
Marshor,N,1,Non-Aligned,[Stf],,Idanian,Honor Intelligence Security,6,5,5,
Morn Barfly,Y,3,Non-Aligned,[Cmd],Smuggler. Thief.,Lurian,Acquisition Biology Engineer Navigation,4,7,5,"At the start of each of your turns, if this personnel and your other Smuggler or Thief are at {Mouth of the Wormhole}, you may draw a card."
Nel Apgar Temperamental Researcher,Y,2,Non-Aligned,,,Tanugan,2 Physics Science Treachery,3,7,3,"When you play this personnel, you may draw three cards, then place three cards from hand on the bottom of your deck in any order."
Pran Tainer Atrean Seismologist,Y,2,Non-Aligned,,,Atrean,2 Geology Physics Programming Science,5,7,3,
Rabal,N,2,Non-Aligned,[Stf],,Hekaran,Astrometrics Engineer Physics Programming Transporters,4,6,5,
Regana Tosh,N,1,Non-Aligned,[Cmd],Smuggler.,Markalian,Acquisition Geology Science Treachery,3,5,5,
Retaya Urbane Poisoner,Y,3,Non-Aligned,[Stf],Assassin.,Flaxian,2 Biology Physics Science 2 Treachery,2,6,5,Order - Return this personnel to his owner's hand to kill an opponent's Intelligence personnel present.
Riva Respected Mediator,Y,1,Non-Aligned,,,Ramatin,2 Diplomacy Honor,6,5,4,"When you play this personnel, each player may draw a card."
Serova Warp Field Theorist,Y,3,Non-Aligned,[Stf],,Hekaran,2 Astrometrics 2 Engineer Physics Science,4,7,4,"While this personnel is facing a dilemma, each of your other Engineer personnel present is Cunning +1."
Soto,N,1,Non-Aligned,[Stf],Thief.,Lethean,Security Telepathy Treachery,4,5,6,
Sunad,N,2,Non-Aligned,[Cmd],,Zalkonian,Law Leadership Officer Physics Security,4,5,4,
Temarek,N,1,Non-Aligned,[Stf],Gatherer. Thief.,Acamarian,Biology Geology Security,4,5,5,
The Albino Killer of Children,Y,3,Non-Aligned,[Cmd],Assassin. Thief.,Alien,Exobiology Leadership 2 Medical 2 Treachery,2,6,6,Order - Return this personnel to his owner's hand to kill an opponent's Honor personnel present.
Togaran,N,2,Non-Aligned,[Cmd],,Tamarian,Honor Leadership Officer Security Transporters,6,5,6,
Tosk The Hunted,Y,4,Non-Aligned,[Stf],,Tosk,Engineer Honor 2 Navigation Programming Security,6,6,6,"While this personnel is facing a dilemma, exclude him from any random selection."
Ty Kajada Relentless Investigator,Y,2,Non-Aligned,[Cmd],,Kobliad,Intelligence Leadership Programming 2 Security,4,6,5,
Vash Treasure Hunter,Y,2,Non-Aligned,,Thief.,Human,Anthropology 2 Archaeology Science Treachery,3,6,4,"When you play this personnel, you may place a card from your discard pile on the bottom of your deck, then draw a card (or, if {Jean-Luc Picard} is at this mission, draw two cards instead)."
Volnoth,N,1,Non-Aligned,[Stf],Gatherer. Thief.,Acamarian,Anthropology Archaeology Engineer Exobiology,4,4,3,
Alidar Jarok Conscientious Admiral,Y,2,Romulan,[Cmd],Admiral.,Romulan,Leadership Navigation Officer Security,4,6,5,"When you play this personnel, for each player who commands a [Rom] personnel, you may examine the top four cards of his or her deck. Replace them in the same order."
Chagrith,N,1,Romulan,[Stf],,Reman,Archaeology Geology Science,4,6,6,
Cretak Supporter of the Alliance,Y,3,Romulan,[Cmd],Senator.,Romulan,Anthropology Diplomacy Law Physics Security,5,5,5,"When you play this personnel, you may download a {D'deridex-class ship}."
Donatra Compassionate Patriot,Y,2,Romulan,[Cmd],Commander: Valdore. Dissident.,Romulan,Engineer Leadership Officer Physics,4,6,5,"While this personnel is facing a dilemma, she gains Honor and Security."
Dralvak,N,1,Romulan,[Stf],,Reman,Biology Medical Physics,4,6,6,
Hiren Romulan Praetor,Y,2,Romulan,,Praetor.,Romulan,Archaeology Astrometrics Diplomacy Law Treachery,4,5,3,"When you play this personnel, you may download {Prejudice and Politics}."
Jorvas,N,1,Romulan,[Cmd],,Reman,Astrometrics Engineer Navigation,4,4,7,
Lovok Tal Shiar Colonel,Y,4,Romulan,[Cmd],Commander: Serrola.,Romulan,Intelligence Navigation Officer Programming Science Transporters,5,6,7,"When an engagement involving your [Car] ship or [Rom] ship begins at this mission, if this personnel is aboard a ship, that ship may join that engagement."
Mopak,N,1,Romulan,[Stf],,Romulan,Biology Intelligence Security,5,5,6,
Movar Political General,Y,2,Romulan,[Cmd],General. Smuggler.,Romulan,Anthropology Officer Physics Treachery,4,5,6,"While you command two [Kli] Treachery personnel, the cost of each of your [Kli] ships is -1."
N'Vek Soldier of the Underground,Y,2,Romulan,[Cmd],Dissident.,Romulan,Astrometrics Biology Programming Science,4,5,6,"Order - If this personnel is present with another non-Treachery Romulan, place that Romulan on the bottom of its owner's deck to draw a number of cards equal to his or her cost. You may do this only once each turn."
Noram,N,1,Romulan,[Cmd],Dissident.,Romulan,Exobiology Leadership Officer,4,6,5,
Sabrun,N,1,Romulan,,Senator.,Romulan,Diplomacy Exobiology Law,4,6,5,
Sela Mysterious Operative,Y,3,Romulan,[Cmd],,Human/Romulan,Diplomacy Intelligence Leadership Officer 2 Treachery,2,6,5,"While an opponent does not have an Intelligence personnel at this mission, his or her personnel at this mission cannot use their abilities."
Selveth Tal Shiar Pilot,Y,3,Romulan,[Stf],,Romulan,Astrometrics Engineer Geology Intelligence 2 Navigation Treachery,4,6,6,
Shinzon Capable Commander,Y,4,Romulan,[Cmd],Commander: Scimitar.,Human,Biology Engineer Leadership Officer 2 Treachery,1,6,6,Order - Discard a card from hand to take a Maneuver card from your discard pile and place it on top of your deck.
Shinzon Romulan Praetor,Y,3,Romulan,[Cmd],Praetor.,Human,Biology Diplomacy Engineer Leadership 2 Treachery,1,6,6,Order - Discard a card from hand to draw a card. You may do this only once each turn.
Suran Ambitious Commander,Y,3,Romulan,[Cmd],Commander: Soterus. Dissident.,Romulan,Leadership Navigation Officer Security Treachery,4,5,6,"When you play this personnel, you may download a Maneuver card."
Tal'Aura Impatient Senator,Y,3,Romulan,,Assassin. Dissident. Senator.,Romulan,Biology Diplomacy Geology Programming 2 Treachery,1,6,4,Order - Return this personnel to her owner's hand to kill an opponent's Leadership personnel present.
Talvin,N,1,Romulan,[Cmd],Dissident.,Romulan,Anthropology Geology Officer,4,5,6,
Taris Deceitful Subcommander,Y,2,Romulan,[Cmd],Commander: Haakona.,Romulan,Archaeology Leadership Medical Officer Transporters,4,5,6,"When you play this personnel, you may examine an opponent's hand."
Telek R'Mor Astrophysical Researcher,Y,3,Romulan,[Cmd][Pa],,Romulan,2 Astrometrics Engineer Honor Programming Science,6,5,6,You may play this personnel aboard your [Rom] ship.
The Viceroy Shinzon's Protector,Y,2,Romulan,[Cmd],,Reman,Exobiology Geology Leadership Medical Telepathy Treachery,3,6,7,"When you play {Shinzon} or another Reman at this mission, you may examine the top card of your deck, then place it on the top or bottom of your deck."
Thexor,N,2,Romulan,[Stf],,Reman,Programming Security Transporters Treachery,4,5,8,
Tomalak Beguiling Adversary,Y,3,Romulan,[Cmd],Commander: Deranas.,Romulan,Diplomacy Leadership Navigation Officer Treachery,4,6,7,"While you have a higher score than each of your opponents, if this personnel is aboard a [Rom] ship, that ship is attributes +2."
Vreenak Tal Shiar Chairman,Y,3,Romulan,,Senator.,Romulan,Anthropology Diplomacy 2 Intelligence Law Leadership,4,6,5,"While an opponent's Diplomacy personnel is at this mission, that opponent must discard a card from hand to use that Diplomacy."
Kasidy Yates Maquis Smuggler,Y,2,Non-Aligned,[Cmd][Maq],Commander: Xhosa. Smuggler.,Human,Engineer Leadership Navigation Transporters,5,5,4,Order - Discard a card from hand to take {Smuggling Run} from your discard pile into hand.
Ruwon Intelligence Analyst,Y,2,Romulan,[Cmd],,Romulan,Exobiology Intelligence Leadership Security Treachery,3,5,6,"When your Romulan present is stopped by a dilemma, you may discard a card from hand to make this personnel Cunning +2 until the end of this mission attempt."
Leonard H. McCoy Remarkable Man,Y,3,Federation,[Cmd][TNG],Admiral.,Human,Biology Exobiology Leadership Medical,7,6,2,"While this personnel is attempting a mission, if you have completed no missions, each of your personnel present is attributes +2."
Brunt FCA Liquidator,Y,2,Ferengi,[Stf],Commander: Audit's Spoils.,Ferengi,Acquisition Law Navigation Programming Treachery,3,6,4,"Order - If an opponent commands more events in his or her core than you, return this personnel to his owner's hand to destroy an event."
Kol,N,2,Ferengi,[Stf],,Ferengi,Acquisition Astrometrics Navigation Science Treachery,3,5,5,"When you play this personnel, you may place the top card of your deck beneath your {Ferenginar}."
Vic Fontaine Vegas Crooner,Y,3,Non-Aligned,[DS9],,Hologram,Anthropology Diplomacy Honor,7,4,4,"When you begin a mission attempt involving this personnel, you may discard a card from hand to subtract one from the total cost your opponent may spend on dilemmas."
Rom Younger Brother,Y,2,Ferengi,[Stf][DS9],Waiter.,Ferengi,Engineer Honor Physics Programming,6,6,4,"When a [Fer] personnel present is randomly selected by a dilemma, you may make that personnel attributes +1 until the end of the dilemma."
Palor Toff Trader,Y,2,Non-Aligned,[Stf],,Alien,Anthropology Biology Diplomacy Law,4,5,4,This personnel is attributes +1 for each Artifact you command.
B-4 Dangerous Simpleton,Y,2,Non-Aligned,,Infiltrator.,Android,Programming,4,2,10,"While this personnel is attempting a mission, you may reveal three Androids from hand to make him Cunning +7 and gain Intelligence and Treachery. These effects last until the end of the mission attempt. You may only do this once each turn."
Noonien Soong Often-Wrong,Y,3,Non-Aligned,[Stf],,Human,Engineer Physics 2 Programming Science,5,7,2,"While this personnel is on a planet or aboard a ship, you may play Androids on that planet or ship. When you play an Android, you may discard a card from hand to download an Android."
Soong-type Android,N,2,Non-Aligned,,,Android,,5,5,5,"While this personnel is facing a dilemma, you may reveal three Androids from hand to make it attributes +4 and gain a skill of your choice. These effects last until the end of the dilemma. You may do this only once each mission attempt."
Dr. Leah Brahms Holographic Representation,Y,2,Federation,[TNG],,Hologram,Astrometrics Engineer Physics Programming,5,6,4,"While this personnel is attempting a space mission, she is attributes +1 and gains Engineer."
Montgomery Scott Relic,Y,4,Federation,[Cmd][TNG],,Human,Engineer Honor Programming Transporters,7,5,4,"While this personnel is equipped with an equipment, each dilemma he faces that requires Programming or Transporters is prevented and overcome."
Flink,N,1,Non-Aligned,[Stf],,Alien,Astrometrics Engineer Medical,5,5,6,
Letek,N,2,Ferengi,[Cmd],,Ferengi,Biology Geology Officer Treachery,3,5,6,"While you have a higher score than each of your opponents, this personnel is attributes +1 and gains Medical and Treachery."
Par Lenor Lascivious Emissary,Y,3,Ferengi,[Cmd],,Ferengi,Acquisition Diplomacy Exobiology Geology,4,5,4,"At the start of each of your turns, you may destroy one of your Rule events to spend additional counters this turn equal to that event's cost."
T'Pol Austere Commander *AP,Y,2,Starfleet,[Cmd][Pa],,Vulcan,Astrometrics Diplomacy Officer Science,6,7,6,
Observation Drone,N,2,Borg,[Stf],Drone.,Borg,Astrometrics Biology Engineer Medical,5,5,5,"When this personnel uses a skill to complete an [AQ] mission, you may exchange up to three cards in your discard pile with the same number of cards from your deck. Then shuffle your deck."
Seven of Nine Reclaimed Drone *AP,Y,2,Federation,[Stf][Voy],,Borg,Astrometrics Engineer Exobiology Physics Programming,5,6,6,
Reinforcement Drone,N,1,Borg,[Stf],Drone.,Borg,Anthropology Archaeology Geology,5,5,5,You may play this personnel at cost +1 where you have three [Bor] personnel present together.
Bruce Maddox Chair of Robotics,Y,2,Federation,[Stf][TNG],,Human,Engineer Officer Programming,4,6,5,"While this personnel is present with an Android, he is attributes +1 and gains Exobiology and Science."
"Arridor ""Great Sage""",Y,3,Ferengi,[Cmd],,Ferengi,Acquisition Anthropology Exobiology Leadership Medical Physics Treachery,3,6,4,"When you begin a mission attempt involving this personnel, you may reveal the top card of your deck. If it is a personnel, make this personnel gain all of the revealed personnel's skills until the end of that mission attempt."
Borts,N,1,Ferengi,[Stf],,Ferengi,Exobiology Medical Programming Treachery,3,5,4,
Goss Direct Negotiator,Y,2,Ferengi,[Cmd],,Ferengi,Acquisition Medical Officer Treachery,3,5,5,"While you have six or more cards in hand, this personnel gains Diplomacy, Transporters, and Treachery."
Kassem Stern Operative,Y,4,Romulan,[Stf],,Romulan,Intelligence Medical Officer Treachery,4,6,5,"When this personnel uses a skill to complete a non-[Rom] mission, score 5 points. You may do this only once each turn."
Spock Celebrated Ambassador,Y,4,Romulan,[Cmd],Dissident.,Human/Vulcan,Archaeology 2 Diplomacy Honor Science,8,8,6,"While this personnel is present with a Dissident, each of your Romulan personnel present is attributes +1."
Lenaris Holem Bold Veteran,Y,3,Bajoran,[Cmd],Bajoran Resistance.,Bajoran,Honor Leadership Officer,6,5,6,"While this personnel is facing a dilemma, if you have ten or more cards in your discard pile, you may meet Cunning and Strength requirements of that dilemma using Integrity instead."
Kira Nerys Pious Major,Y,4,Bajoran,[Cmd],,Bajoran,Anthropology Diplomacy Leadership Navigation,6,6,6,"When this personnel uses a skill to complete a [Baj] mission, score 5 points. You may do this only once each turn."
E.M.H. Program,N,1,Federation,[E],,Hologram,Biology Exobiology Medical,5,6,4,
Omet'iklan Steely Disciplinarian,Y,3,Dominion,[Cmd],,Jem'Hadar,Biology Geology Leadership Officer,6,6,9,"When you lose 5 points, you may place two of your Jem'Hadar present in their owner's discard pile to score 5 points. You may do this only once per turn."
Dejar Cunning Saboteur,Y,4,Cardassian,[Stf],,Cardassian,Engineer Intelligence Science Treachery,4,6,5,"When this personnel uses her Intelligence to complete a mission, score 5 points."
Tekeny Ghemor Prominent Official,Y,3,Cardassian,[Cmd],Dissident. Legate.,Cardassian,Diplomacy Engineer Honor Law Leadership Programming Transporters,7,6,5,"When you play this personnel, discard a card from hand. When this personnel is about to be stopped by a dilemma, you may stop your Dissident present instead."
Duran'Adar Attentive Sixth,Y,4,Dominion,[Stf],Alpha.,Jem'Hadar,Engineer Programming Security,6,5,7,"When this personnel uses a skill to complete an [AQ] mission, score 5 points. You may do this only once each turn."
Goran'Agar Trusted Commander,Y,5,Dominion,[Cmd],,Jem'Hadar,Honor Leadership Officer Physics,7,5,9,"While this personnel is facing a dilemma, each of your Jem'Hadar present is Cunning +1 Order - Stop one of your Jem'Hadar present to draw a card. You may only do this once each turn."
Daneeka Reassuring Physician,Y,4,Federation,[Stf][TNG],,Human,Anthropology Biology Medical Science,6,5,5,"When this personnel uses Biology to complete a mission, score 5 points."
Michael Eddington Loyal Leader,Y,2,Federation,[Cmd][Maq],,Human,Navigation Programming Security,4,6,6,"While this personnel is attempting a mission, you may make him attributes +3 and gain Honor and Leadership until the end of this mission attempt. If you do, he is killed at the end of this turn. You may do this only once each turn."
"Birta ""Helpful"" DaiMon",Y,2,Ferengi,[Cmd],,Ferengi,Diplomacy Law Navigation Security,5,6,5,"When you play an Acquisition personnel at this mission, you may examine the top card of your deck, then place it on the top or bottom of your deck."
Bok Vengeful DaiMon,Y,2,Ferengi,[Cmd],Commander: Kurdon.,Ferengi,Biology Engineer Officer 2 Treachery,2,6,5,"While you command an event that has a higher cost than every other opponent's event, this personnel is attributes +1 and gains Programming."
Gozar,N,2,Ferengi,[Cmd],,Ferengi,Acquisition Archaeology Leadership Navigation Officer Treachery,3,5,5,
Ishka Moogie,Y,2,Ferengi,,,Ferengi,2 Acquisition Biology Honor,6,6,3,Order - Examine the top card of your deck and exchange it with a card beneath your {Ferenginar}.
Kazago First Officer,Y,3,Ferengi,[Cmd],,Ferengi,Archaeology Engineer Honor Navigation Officer,6,4,4,"For each card beneath your {Ferenginar}, this personnel is attributes +1 (limit +3)."
Krunk,N,1,Ferengi,[Stf],,Ferengi,Engineer Physics Transporters,4,5,6,
Leck Eliminator,Y,2,Ferengi,[Stf],Assassin.,Ferengi,Biology Exobiology Security 2 Treachery,2,6,6,Order - Discard any number of cards from hand and return this personnel to his owner's hand to randomly kill an opponent's personnel present whose cost equals the number of cards you discarded.
Lurin Renegade DaiMon,Y,3,Ferengi,[Cmd],,Ferengi,Acquisition Geology Leadership Officer Transporters 2 Treachery,2,6,6,"At the start of each of your turns, you may discard a ship or equipment from hand to spend 2 additional counters this turn."
Lwaxana Troi Telepathic Asset,Y,2,Ferengi,,,Betazoid,Diplomacy Telepathy,6,6,3,Order - One of your [Fer] Leadership personnel present gains any skill. This effect lasts until this order is executed again.
Maihar'du Silent Servant,Y,3,Ferengi,,,Hupyrian,Exobiology Honor Navigation Security,7,5,7,Order - Stop your [Fer] Leadership personnel present to take a card from beneath your {Ferenginar} into hand.
Mordoc,N,1,Ferengi,[Stf],,Ferengi,Astrometrics Security Treachery,3,5,6,"While you have more cards in hand than any of your opponents, this personnel is attributes +1 and gains Transporters."
Nava,N,2,Ferengi,,,Ferengi,Acquisition Anthropology Geology Science Treachery,3,5,4,"When you play this personnel, you may take a card from beneath your {Ferenginar} into hand."
Quark True Ferengi,Y,4,Ferengi,[DS9],,Ferengi,Acquisition Anthropology Diplomacy Programming Treachery,4,6,4,"When you play this personnel, you may download a card and place that card beneath your {Ferenginar}. This personnel is Cunning +1 for each Rule you command that has a different card title."
Skron,N,1,Ferengi,,,Ferengi,Acquisition Diplomacy Law Programming,4,5,4,
Sovak Treasure Hunter,Y,2,Ferengi,[Stf],,Ferengi,Acquisition Archaeology Programming Science Treachery,3,6,5,"Order - Discard a card from hand to examine a number of cards from the top of your deck equal to the discarded card's cost, then replace them in any order."
Taar Bristling DaiMon,Y,3,Ferengi,[Cmd],,Ferengi,Acquisition Astrometrics Engineer Officer Treachery,3,5,6,"This personnel is attributes +2 for each of these categories in which you have more than any of your opponents: cards in hand, events in core, and points scored."
Zek The Grand Nagus,Y,3,Ferengi,,Commander: Aurulent.,Ferengi,2 Acquisition Diplomacy Law 2 Leadership,4,7,2,"Order - Stop this card to reveal the top card of your deck. If it is a [Fer] personnel, draw it; otherwise, place it beneath your {Ferenginar}."
Jean-Luc Picard Worf's cha'Dich,Y,4,Klingon,[Cmd],,Human,Diplomacy Honor Law Security,8,6,6,"When your Klingon personnel present is selected by a dilemma, you may replace him or her with this personnel."
K'Ehleyr Diplomatic Advisor,Y,4,Klingon,,,Human/Klingon,Anthropology Diplomacy Honor Law,6,5,6,"When this personnel uses her Diplomacy to complete a mission, score 5 points."
Aikido,N,2,Non-Aligned,,,Hologram,Honor Physics Security,5,5,7,"When a non-Hologram personnel present is randomly selected by a dilemma, you may make that personnel Strength +1 until the end of that dilemma."
Calisthenics Opponent,N,2,Non-Aligned,,,Hologram,Anthropology Geology Security,5,5,5,This personnel is attributes +1 for each of your Security personnel present.
Ira Graves Noted Molecular Cyberneticist,Y,4,Non-Aligned,,,Human,Biology Engineer Exobiology 2 Programming Treachery,3,7,3,"When this personnel or your Android present is about to be stopped or killed by a dilemma, you may discard an Android from hand to prevent that. You may do this only once each turn."
Kivas Fajo Collector,Y,3,Non-Aligned,[Cmd],Commander: Jovis. Thief.,Zibalian,2 Acquisition Archaeology Exobiology Science 2 Treachery,2,6,5,"While this personnel is facing a dilemma, you may meet Diplomacy and Honor requirements of that dilemma using Acquisition instead."
Minuet Jazz Lover,Y,1,Non-Aligned,,,Hologram,Anthropology Exobiology,5,5,4,"When this personnel is facing a dilemma, you may stop a non-Hologram personnel present to make this personnel attributes +1 and gain Programming and Security. These effects last until the end of the mission attempt."
Ruk Old One Servitor,Y,4,Non-Aligned,[Stf][Pa],,Android,Exobiology Geology Security,4,9,10,"When you play this personnel, each Android you command is attributes +1 until the end of this turn."
Sigmund Freud Father of Psychoanalysis,Y,1,Non-Aligned,,,Hologram,Anthropology Biology Medical,6,7,3,
Tolian Soran Renegade Scientist,Y,0,Non-Aligned,[Stf],,El-Aurian,Astrometrics Engineer 2 Physics Programming Transporters 2 Treachery,1,7,6,"When this personnel uses a skill, randomly stop one of your personnel present."
Varria Lavishly Rewarded Aide,Y,2,Non-Aligned,[Stf],,Alien,Geology Honor Navigation Security Transporters,6,5,6,
Tebok Posturing Commander,Y,2,Romulan,[Cmd],,Romulan,Astrometrics Diplomacy Navigation Officer,4,6,7,You may play this personnel at cost +1 to reveal the top three cards of an opponent's deck and replace them in any order.
Borg Queen The One Who Is Many *AP,Y,2,Borg,[Cmd],,Borg,Diplomacy 2 Leadership Treachery,4,8,6,
Shinzon Reman Leader *AP,Y,2,Romulan,[Cmd],,Human,Geology Leadership Officer Security 2 Treachery,1,6,6,
Borg Queen The One Who is Many,Y,2,Borg,[Cmd],,Borg,Diplomacy 2 Leadership Treachery,4,8,6,
